"filename", "language", "Python", "JSON", "JSON with Comments", "TOML", "Shell Script", "Markdown", "Draw.io", "XML", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\model_base_ABC.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 31
"c:\Users\ppain\repos\python\p3_budman\src\p3_mvvm\model_binding_ABC.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 33
"c:\Users\ppain\repos\python\p3_budman\src\scripts\arg_lesson.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 27, 119
"c:\Users\ppain\repos\python\p3_budman\src\scripts\bdm_store.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 13, 239
"c:\Users\ppain\repos\python\p3_budman\src\scripts\copy_dawio_files.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 5
"c:\Users\ppain\repos\python\p3_budman\src\scripts\doit.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\ppain\repos\python\p3_budman\src\scripts\excel_app.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 3, 104
"c:\Users\ppain\repos\python\p3_budman\src\scripts\fooey.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 6, 163
"c:\Users\ppain\repos\python\p3_budman\src\scripts\richlesson.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 6, 131
"c:\Users\ppain\repos\python\p3_budman\src\scripts\show_categories.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 79
"c:\Users\ppain\repos\python\p3_budman\tach.toml", "TOML", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\ppain\repos\python\p3_budman\tests\test_bdm_store\test_bsm_bdm_store.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 4, 162
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_data_context_interface\test_budget_domain_model_working_data_base_interface.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 4, 198
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_data_context_interface\test_budman_data_context_base_interface.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 3, 228
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_data_context_interface\test_budman_data_context_client_interface.py", "Python", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 198
