"filename", "language", "Markdown", "JSON", "Ini", "pip requirements", "JSON with Comments", "TOML", "Python", "Shell Script", "XML", "Draw.io", "CSV", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_domain_model\test_budget_domain_model.py", "Python", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 49, 10, 323
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_domain_model\test_budget_domain_model_binding.py", "Python", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 18, 2, 67
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_domain_model\test_budget_domain_model_identity.py", "Python", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 15, 1, 46
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_domain_model\test_budget_model_template.py", "Python", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 53, 11, 224
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_domain_model\test_budget_storage_model.py", "Python", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 46, 4, 66
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_settings.py", "Python", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 15, 2, 27
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_storage_model\test_bsm.py", "Python", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 17, 4, 47
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_view_model\test_budman_cli_view_datacontext.py", "Python", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 26, 6, 156
"c:\Users\ppain\repos\python\p3_budman\tests\test_budman_view_model\test_budman_command_view_model.py", "Python", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 15, 0, 36
"c:\Users\ppain\repos\python\p3_budman\tests\test_excel_budget_model.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 30, 6, 42
"c:\Users\ppain\repos\python\p3_budman\tests\test_main.py", "Python", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 13, 2, 33
"c:\Users\ppain\repos\python\p3_budman\tests\testdata\BDM_STORE\bdm_store_ca063e8b.json", "JSON", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117
"c:\Users\ppain\repos\python\p3_budman\tests\testdata\BDM_STORE\bdm_store_ca063e8b.jsonc", "JSON with Comments", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 117
"c:\Users\ppain\repos\python\p3_budman\tests\testdata\BDM_STORE\bdm_store_empty_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ppain\repos\python\p3_budman\tests\testdata\BDM_STORE\bdm_store_invalid_json.json", "JSON", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"Total", "-", 515, 195, 12, 164, 257, 590, 12434, 1, 1550, 10440, 248, 7882, 959, 35247
