"filename", "language", "Python", "JSON", "JSON with Comments", "TOML", "Shell Script", "Markdown", "Draw.io", "XML", "Ini", "pip requirements", "CSV", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model_config.py", "Python", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 20, 556
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\__init__.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 58
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\budget_storage_model.py", "Python", 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 3, 602
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\csv_data_collection.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 4, 157
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 26
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\budman_app.py", "Python", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 13, 313
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\diagrams\budman_app_budman_app.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 406, 0, 0, 0, 77, 1, 484
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\diagrams\graph.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 406, 0, 0, 0, 77, 1, 484
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\__init__.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 18
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_parser.py", "Python", 506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 31, 640
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_view.py", "Python", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 14, 564
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_command_help.md", "Markdown", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 25, 89
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\budman_cp_namespace.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 11, 116
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\workflow_commands.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 45
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\__init__.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 21
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budget_domain_model_working_data.py", "Python", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 12, 363
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context.py", "Python", 520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309, 52, 881
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context_base_ABC.py", "Python", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 43, 476
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context_binding_class.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 54, 525
"c:\Users\ppain\repos\python\p3_budman\src\budman_model.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 369, 0, 0, 0, 71, 1, 441
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\__init__.py", "Python", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 191
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\bdm_singleton_meta.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 49
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\bdm_workbook_class.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 2, 215
"c:\Users\ppain\repos\python\p3_budman\src\budman_namespace\design_language_namespace.py", "Python", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 10, 391
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\apply_mapping_to_excel_file.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 20, 114
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\plot_settings.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ppain\repos\python\p3_budman\src\budman_notebooks\read_excel_file.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 18, 75
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 28
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\budman_settings.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 92
"c:\Users\ppain\repos\python\p3_budman\src\budman_settings\budman_settings_constants.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 38
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\__init__.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 22
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\budman_cli_view_command_processor_binding.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 5, 135
"c:\Users\ppain\repos\python\p3_budman\src\budman_view_model\budman_view_model.py", "Python", 875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1054, 16, 1945
